City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
282,lalab,98,PH,1601793885,73,11.57,122.43,302.58,2.9
283,lapinig,100,PH,1601793885,83,12.32,125.3,301.89,1.7
284,lumbayao,100,PH,1601793885,75,8.02,125.17,302.06,0.41
285,magtaking,53,PH,1601793885,68,15.99,120.18,304.29,2.28
286,maitum,75,PH,1601793885,52,6.04,124.5,306.15,4.1
287,malayal,20,PH,1601793885,70,7.21,121.94,304.15,6.7
288,natubleng,83,PH,1601793885,100,16.7,120.78,289.55,0.48
289,nenita,100,PH,1601793885,74,12.49,124.8,302.49,2.34
290,plaridel,40,PH,1601793886,56,14.89,120.86,307.15,2.1
291,potot,100,PH,1601793886,73,12.2,123.43,302.84,2.16
292,pualas,45,PH,1601793886,77,8.02,123.85,303.02,1.68
293,rebe,31,PH,1601793886,75,7.91,123.82,303.11,1.98
294,san antonio,1,US,1601793610,82,29.42,-98.49,294.15,1.5
295,santa josefa,100,PH,1601793886,65,7.99,126.03,304.94,1.67
296,sibul,75,PH,1601793887,63,15.17,121.06,306.15,7.2
297,sual,34,PH,1601793887,71,16.07,120.09,303.53,2.1
298,talisayan,20,PH,1601793887,70,6.99,121.93,304.15,6.7
299,bhag,0,PK,1601793887,9,29.04,67.82,310.52,0.17
300,risalpur,5,PK,1601793887,37,34.06,71.99,302.15,2.1
301,kamien pomorski,75,PL,1601793887,100,53.97,14.77,287.04,0.5
302,kozuchow,100,PL,1601793887,40,51.75,15.59,285.93,3.82
303,mlawa,100,PL,1601793887,77,53.11,20.38,290.37,4.6
304,ponta do sol,40,PT,1601793887,77,32.67,-17.1,294.15,5.1
305,general higinio morinigo,0,PY,1601793888,100,-25.95,-55.92,287.61,0.85
306,argetoaia,98,RO,1601793888,77,44.52,23.37,290.93,2.24
307,bailesti,100,RO,1601793888,72,44.02,23.35,290.93,6.7
308,blejoi,40,RO,1601793888,100,45.0,26.02,290.37,3.6
309,boldu,20,RO,1601793888,88,45.33,27.23,290.15,2.6
310,branesti,20,RO,1601793888,72,45.03,25.42,284.82,6.26
311,butoiesti,98,RO,1601793888,77,44.58,23.37,290.93,2.24
312,calarasi,75,MD,1601793889,77,47.25,28.31,292.15,7.7
313,caracal,100,RO,1601793889,72,44.12,24.35,290.93,6.7
314,cenade,98,RO,1601793889,38,46.06,24.01,297.15,6.7
315,chiojdeanca,20,RO,1601793889,88,45.17,26.27,290.15,2.6
316,clinceni,0,RO,1601793889,93,44.37,25.95,293.15,3.1
317,colonesti,84,RO,1601793889,59,44.65,24.67,292.77,5.57
318,daeni,20,RO,1601793889,88,44.83,28.12,295.37,5.7
319,dragalina,5,RO,1601793889,100,44.43,27.32,290.15,4.1
320,dragoesti,80,RO,1601793890,82,47.55,26.08,289.26,5.1
321,glimboca,80,RO,1601793890,60,45.48,22.32,294.97,0.5
322,gradistea,5,RO,1601793890,100,44.23,27.22,290.15,4.1
323,hida,20,RO,1601793890,67,47.07,23.28,292.04,6.7
324,ineu,20,RO,1601793890,56,46.43,21.85,295.15,8.2
325,isverna,33,RO,1601793890,50,44.98,22.63,293.39,2.28
326,macesu de sus,100,RO,1601793890,72,43.92,23.7,290.93,6.7
327,poarta alba,20,RO,1601793890,88,44.22,28.4,295.37,7.2
328,poeni,20,RO,1601793891,67,46.92,22.9,292.04,6.7
329,rachiti,85,RO,1601793891,82,47.77,26.68,289.26,5.1
330,sacel,99,RO,1601793891,57,47.63,24.43,293.54,1.81
331,scortoasa,20,RO,1601793891,88,45.37,26.67,290.15,2.6
332,simonesti,49,RO,1601793891,77,46.33,25.1,290.37,1.5
333,tinosu,40,RO,1601793891,100,44.82,26.02,290.37,3.6
334,turceni,98,RO,1601793891,77,44.68,23.37,290.93,2.24
335,uricani,100,RO,1601793892,54,45.34,23.15,291.93,2.55
336,vadastrita,20,RO,1601793892,82,43.85,24.33,290.37,1.0
337,kraljevo,40,RS,1601793892,68,43.73,20.69,294.15,2.6
338,medveda,72,RU,1601793892,47,56.51,92.41,286.15,4.0
339,stara pazova,40,RS,1601793892,88,44.98,20.16,291.15,6.2
340,titel,40,RS,1601793892,88,45.21,20.29,291.15,6.2
341,agidel,43,RU,1601793892,66,55.91,53.94,280.22,5.28
342,arkhipo-osipovka,61,RU,1601793892,63,44.37,38.52,293.89,2.76
343,batagay-alyta,100,RU,1601793893,84,67.8,130.41,272.22,2.17
344,belogorsk,100,RU,1601793893,89,50.92,128.46,281.48,5.45
345,bogatoye,99,RU,1601793893,61,53.06,51.33,285.92,5.16
346,borovikha,100,RU,1601793893,43,53.51,83.84,284.15,5.0
347,buribay,100,RU,1601793893,79,51.96,58.16,282.64,4.74
348,chermoz,0,RU,1601793893,74,58.79,56.15,276.82,4.47
349,desnogorsk,100,RU,1601793893,57,54.15,33.28,284.84,4.77
350,dudinka,75,RU,1601793893,92,69.41,86.18,272.15,10.0
351,gorodishche,97,RU,1601793894,32,48.8,44.47,288.71,6.0
352,ivnya,0,RU,1601793894,33,51.06,36.13,287.59,4.0
353,kamenka,96,RU,1601793894,41,51.32,42.77,290.79,2.95
354,kirovo-chepetsk,0,RU,1601793894,67,58.55,50.04,278.19,2.28
355,kolyubakino,43,RU,1601793894,58,55.67,36.53,285.15,4.0
356,krasnogorskiy,0,RU,1601793894,65,54.6,61.23,278.38,5.64
